Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,11/5/1997,948,74,91.80829068,W,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,74,90.04354307,C,OMR,Interior
Middle River at Bacon Island Bridge,4/23/1991,294,73,85.01362795,C,OMR,Interior
Old River near Rock Slough,6/19/1959,327,73,91.43818578,BN,OMR,Interior
Middle River at Bacon Island Bridge,5/21/1991,359,73,91.14886705,C,OMR,Interior
Contra Costa PP Number 01,5/2/2000,381,73,63.70366373,AN,OMR,Interior
Rock Slough @ Old River,5/19/1994,395,73,76.51544974,C,OMR,Interior
Clifton Court Intake,2/17/1994,415,73,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,3/9/1993,471,73,59.04059358,AN,OMR,Interior
Contra Costa PP Number 01,10/3/2005,504,73,81.90521431,BN,OMR,Interior
Clifton Court Intake,7/23/1991,528,73,91.47785985,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2014,542,73,93.6049299,C,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,73,89.47617765,BN,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,73,88.40480968,D,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,73,95.44056579,C,OMR,Interior
Clifton Court Intake,6/25/1992,724,73,90.85817896,C,OMR,Interior
Old River near Rock Slough,7/7/1959,749,73,94.29889644,BN,OMR,Interior
Clifton Court Intake,12/11/1990,853,73,93.08539402,C,OMR,Interior
Contra Costa PP Number 01,6/23/1992,885,73,92.2794422,C,OMR,Interior
Rock Slough @ Old River,1/29/1991,897,73,94.90599798,C,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,72,68.43776556,C,OMR,Interior
Contra Costa PP Number 01,10/3/1996,292,72,81.93439648,W,OMR,Interior
Middle River @ Union Point - P10A,4/7/2009,314,72,75.36176628,D,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,72,62.66343249,BN,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,72,71.8099759,BN,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,72,80.28545946,D,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,72,60.83995013,AN,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,72,75.37363149,C,OMR,Interior
Middle River @ Union Point - P10A,2/5/2018,402,72,74.06112596,BN,OMR,Interior
Contra Costa PP Number 01,4/3/2006,428,72,47.97842568,W,OMR,Interior
Middle River @ Union Point - P10A,2/5/2008,456,72,54.87619201,C,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,72,79.89948567,D,OMR,Interior
Rock Slough @ Old River,3/20/1990,548,72,85.09103604,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,72,92.33233742,C,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,72,83.27712196,D,OMR,Interior
Contra Costa PP Number 01,11/7/2000,668,72,84.3926938,W,OMR,Interior
Old River North of Rock Slough (St 4b),10/7/1992,835,72,92.45317986,C,OMR,Interior
