Long Station Name,Collection Date,EC,Ca,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,3/13/1995,322,19,37.53111646,W,OMR,Interior
Old River near Rock Slough,6/19/1959,318,19,91.43818578,BN,OMR,Interior
Rock Slough @ Old River,1/27/1993,294,19,54.16889291,AN,OMR,Interior
Rock Slough @ Old River,2/18/1993,290,19,59.5796831,AN,OMR,Interior
Old River North of Rock Slough (St 4b),3/23/1993,288,19,56.65439542,AN,OMR,Interior
Old River South of Rock Slough (St 5A),11/18/1985,992,18,93.20373275,W,OMR,Interior
Rock Slough @ Old River,9/22/1994,988,18,90.04354307,C,OMR,Interior
Old River near Rock Slough,8/18/1959,937,18,93.54824528,BN,OMR,Interior
Contra Costa PP Number 01,9/20/1994,935,18,92.37559029,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/3/1992,930,18,90.77667797,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/22/1992,909,18,92.3938467,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,18,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,8/19/1992,904,18,92.0935494,C,OMR,Interior
Rock Slough @ Old River,7/22/1992,899,18,92.3938467,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,18,92.38888101,C,OMR,Interior
Rock Slough @ Old River,8/6/1992,878,18,92.5804813,C,OMR,Interior
Contra Costa PP Number 01,10/1/2008,870,18,88.30977329,D,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,18,87.22990049,C,OMR,Interior
Old River North of Rock Slough (St 4b),11/14/1990,859,18,93.90716742,D,OMR,Interior
Rock Slough @ Old River,10/7/1992,849,18,92.45317986,C,OMR,Interior
Rock Slough @ Old River,11/14/1990,848,18,93.90716742,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/6/1992,840,18,92.5804813,C,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,18,93.6335894,C,OMR,Interior
Rock Slough @ Old River,7/9/1992,812,18,91.63677332,C,OMR,Interior
Old River North of Rock Slough (St 4b),7/9/1992,795,18,91.63677332,C,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,18,88.7732302,C,OMR,Interior
Contra Costa PP Number 01,10/6/2004,730,18,80.20091081,AN,OMR,Interior
Old River North of Rock Slough (St 4b),6/13/1991,719,18,92.96709129,C,OMR,Interior
Rock Slough @ Old River,6/13/1991,713,18,92.96709129,C,OMR,Interior
Contra Costa PP Number 01,6/24/1991,705,18,92.83977948,C,OMR,Interior
Contra Costa PP Number 01,1/3/2006,703,18,0,W,OMR,Interior
Clifton Court Intake,11/21/1991,688,18,93.42904814,C,OMR,Interior
Contra Costa PP Number 01,11/7/2000,668,18,84.3926938,W,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,18,83.27712196,D,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,18,82.80590189,AN,OMR,Interior
Old River near Rock Slough,9/2/1959,644,18,91.96611223,BN,OMR,Interior
Old River near Rock Slough,9/2/1959,621,18,91.96611223,BN,OMR,Interior
Rock Slough @ Old River,10/1/1990,618,18,91.47315676,D,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,18,94.93479848,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,18,92.39401068,D,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,18,83.08252588,C,OMR,Interior
Middle River at Bacon Island Bridge,8/4/1992,571,18,93.425676,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/26/1991,549,18,72.01442228,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2014,542,18,93.6049299,C,OMR,Interior
Middle River @ Union Point - P10A,7/7/2014,541,18,90.2187572,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1988,533,18,88.84197167,C,OMR,Interior
Clifton Court Intake,7/23/1991,528,18,91.47785985,C,OMR,Interior
