Long Station Name,Collection Date,EC,Br,Sacramento X2,WYT,Location,Area
Rock Slough at Delta Road Bridge,6/6/2011,259,0.06,57.57300551,W,OMR,Interior
Middle River @ Union Point - P10A,8/2/2006,261,0.08,78.28975195,W,OMR,Interior
Middle River @ Union Point - P10A,8/2/2006,261,0.08,78.28975195,W,SouthDelta,Interior
San Joaquin River at Prisoner's Point,2/16/2010,261.4,0.08,56.73294725,BN,SJRcorridor,Interior
Contra Costa PP Number 01,7/2/2002,262,0.08,80.39099747,D,OMR,Interior
San Joaquin River at Prisoner's Point,10/30/2009,262.1,0.1,84.65210123,C,SJRcorridor,Interior
Contra Costa PP Number 01,7/2/2007,264,0.06,80.94470218,D,OMR,Interior
Middle River @ Union Point - P10A,8/4/2009,265,0.13,84.14076361,D,OMR,Interior
Contra Costa PP Number 01,4/21/1993,265,0.06,62.38347365,AN,OMR,Interior
Middle River @ Union Point - P10A,8/4/2009,265,0.13,84.14076361,D,SouthDelta,Interior
Middle River at Bacon Island Bridge,8/27/1990,267,0.15,83.52017111,C,OMR,Interior
Contra Costa PP Number 01,8/6/1997,267,0.12,77.35304839,W,OMR,Interior
Contra Costa PP Number 01,5/2/2007,268,0.06,74.44600721,D,OMR,Interior
Middle River at Bacon Island Bridge,8/22/1990,269,0.16,83.47764088,C,OMR,Interior
Contra Costa PP Number 01,9/2/1997,269,0.08,77.2650624,W,OMR,Interior
Contra Costa PP Number 01,10/3/2006,272,0.11,79.15994988,AN,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,0.07,73.77999403,W,OMR,Interior
San Joaquin River at Prisoner's Point,6/12/2008,272,0.07,81.05885354,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,11/7/2006,274,0.1,88.98570418,AN,OMR,Interior
Middle River @ Union Point - P10A,1/3/2011,274,0.08,53.33698971,W,OMR,Interior
Middle River @ Union Point - P10A,11/7/2006,274,0.1,88.98570418,AN,SouthDelta,Interior
Middle River @ Union Point - P10A,1/3/2011,274,0.08,53.33698971,W,SouthDelta,Interior
Middle River at Bacon Island Bridge,9/21/1993,275,0.08,80.87356521,AN,OMR,Interior
Little Connection Sl. @ Empire Tr.,7/24/1991,275,0.13,92.78926842,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,8/6/2007,277,0.11,84.7182393,D,OMR,Interior
Contra Costa PP Number 01,6/6/1996,277,0.08,61.33562885,W,OMR,Interior
Middle River @ Union Point - P10A,8/6/2007,277,0.11,84.7182393,D,SouthDelta,Interior
Middle River @ Union Point - P10A,3/13/2019,278,0.07,#N/A,W,OMR,Interior
Middle River @ Union Point - P10A,3/13/2019,278,0.07,#N/A,W,SouthDelta,Interior
San Joaquin River at Prisoner's Point,8/5/2008,280.8,0.12,88.35573476,C,SJRcorridor,Interior
Middle River at Bacon Island Bridge,7/30/1990,281,0.15,85.42890232,C,OMR,Interior
Contra Costa PP Number 01,9/5/1996,283,0.11,73.8076039,W,OMR,Interior
Middle River @ Union Point - P10A,6/5/2018,284,0.11,74.73149108,BN,OMR,Interior
Middle River @ Union Point - P10A,6/5/2018,284,0.11,74.73149108,BN,SouthDelta,Interior
Contra Costa PP Number 01,9/23/1993,285,0.11,83.44869348,AN,OMR,Interior
Middle River at Bacon Island Bridge,7/26/1990,286,0.14,86.56430395,C,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1993,287,0.1,84.89979461,C,OMR,Interior
Clifton Court Intake,10/14/1993,287,0.1,84.61138109,C,OMR,Interior
Contra Costa PP Number 01,7/1/2008,287,0.09,84.87243383,C,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,0.14,84.03725468,BN,OMR,Interior
Middle River @ Union Point - P10A,6/8/2010,288,0.09,67.97063022,BN,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,0.08,67.44761682,W,OMR,Interior
Old River North of Rock Slough (St 4b),3/23/1993,288,0.07,56.65439542,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,0.14,84.03725468,BN,SouthDelta,Interior
Middle River @ Union Point - P10A,6/8/2010,288,0.09,67.97063022,BN,SouthDelta,Interior
San Joaquin River at Prisoner's Point,10/15/2008,288.7,0.12,90.3992398,D,SJRcorridor,Interior
Contra Costa PP Number 01,12/2/1998,289,0.09,64.89739823,W,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,0.06,68.43776556,C,OMR,Interior
Rock Slough @ Old River,2/18/1993,290,0.06,59.5796831,AN,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,2/15/1996,290,0.08,53.64428507,W,SJRcorridor,Interior
San Joaquin River at Prisoner's Point,1/25/2010,290.7,0.11,63.07199036,BN,SJRcorridor,Interior
Contra Costa PP Number 01,10/3/1996,292,0.12,81.93439648,W,OMR,Interior
Middle River at Bacon Island Bridge,9/4/1990,293,0.16,85.84737194,C,OMR,Interior
Middle River at Bacon Island Bridge,11/10/1993,293,0.14,87.72748074,C,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,0.08,66.71648137,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,0.13,86.84207092,BN,OMR,Interior
Middle River at Bacon Island Bridge,4/23/1991,294,0.11,85.01362795,C,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,0.09,78.50514499,W,OMR,Interior
Rock Slough @ Old River,1/27/1993,294,0.07,54.16889291,AN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,0.13,86.84207092,BN,SouthDelta,Interior
Middle River at Bacon Island Bridge,10/14/1993,295,0.11,84.61138109,C,OMR,Interior
Contra Costa PP Number 01,4/2/2002,295,0.08,71.94484474,D,OMR,Interior
Middle River at Bacon Island Bridge,8/13/1990,296,0.18,82.37363354,C,OMR,Interior
Middle River at Bacon Island Bridge,4/7/1992,297,0.06,81.84286737,C,OMR,Interior
Clifton Court Intake,6/10/1993,301,0.08,57.844797,AN,OMR,Interior
Rock Slough @ Old River,3/23/1993,301,0.07,56.65439542,AN,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,3/20/1995,301,0.05,35.26878783,W,SJRcorridor,Interior
Middle River at Bacon Island Bridge,9/10/1990,302,0.18,83.68375569,C,OMR,Interior
Contra Costa PP Number 01,11/7/2006,302,0.14,88.98570418,AN,OMR,Interior
Old River North of Rock Slough (St 4b),1/27/1993,302,0.07,54.16889291,AN,OMR,Interior
Old River North of Rock Slough (St 4b),3/11/1992,302,0.07,67.72093556,C,OMR,Interior
Middle River at Bacon Island Bridge,7/16/1990,303,0.16,85.00509504,C,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,0.08,68.97868863,W,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,0.08,80.94470218,D,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,0.08,80.94470218,D,SouthDelta,Interior
Middle River @ Union Point - P10A,8/5/2008,304,0.12,88.35573476,C,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,0.12,88.35573476,C,SouthDelta,Interior
Middle River at Bacon Island Bridge,12/15/1993,305,0.13,84.34978841,AN,OMR,Interior
San Joaquin River at Prisoner's Point,5/20/2008,305.7,0.09,83.51606562,C,SJRcorridor,Interior
Middle River at Bacon Island Bridge,4/9/1991,306,0.13,70.47185036,C,OMR,Interior
Contra Costa PP Number 01,5/10/1995,307,0.09,49.34111805,W,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,0.09,86.24729429,BN,OMR,Interior
Middle River at Bacon Island Bridge,1/12/1994,311,0.11,82.38546939,C,OMR,Interior
San Joaquin River at Prisoner's Point,10/8/2009,311.4,0.13,90.73343555,C,SJRcorridor,Interior
San Joaquin River at Prisoner's Point,4/10/2008,313.3,0.08,78.60601526,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,4/7/2009,314,0.1,75.36176628,D,OMR,Interior
Contra Costa PP Number 01,3/12/1997,314,0.08,55.67296976,W,OMR,Interior
Middle River @ Union Point - P10A,4/7/2009,314,0.1,75.36176628,D,SouthDelta,Interior
Contra Costa PP Number 01,3/5/2007,315,0.11,58.91442023,D,OMR,Interior
San Joaquin River at Prisoner's Point,8/17/2009,315,0.18,86.7435617,D,SJRcorridor,Interior
Middle River @ Union Point - P10A,7/1/2008,318,0.1,84.87243383,C,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,0.08,72.02877378,D,OMR,Interior
Rock Slough @ Old River,3/11/1992,318,0.08,67.72093556,C,OMR,Interior
Grant Line/Fabian/Bell Canals nr Old R.,10/20/1993,318,0.14,84.89979461,C,SouthDelta,Interior
Middle River @ Union Point - P10A,7/1/2008,318,0.1,84.87243383,C,SouthDelta,Interior
Middle River @ Union Point - P10A,4/2/2007,318,0.08,72.02877378,D,SouthDelta,Interior
Middle River @ Union Point - P10A,6/7/2016,319,0.12,82.94141541,BN,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,0.12,82.94141541,BN,SouthDelta,Interior
Old River North of Rock Slough (St 4b),4/9/1991,320,0.14,70.47185036,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,0.13,92.29828513,D,OMR,Interior
Middle River at Bacon Island Bridge,2/9/1993,320,0.1,67.78217395,AN,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,0.13,92.29828513,D,SouthDelta,Interior
Middle River @ Union Point - P10A,12/6/2010,321,0.15,84.27592276,BN,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,0.1,62.66343249,BN,OMR,Interior
Clifton Court Intake,3/26/1992,321,0.07,68.43776556,C,OMR,Interior
Middle River @ Union Point - P10A,12/6/2010,321,0.15,84.27592276,BN,SouthDelta,Interior
Middle River @ Union Point - P10A,3/10/2016,321,0.1,62.66343249,BN,SouthDelta,Interior
Contra Costa PP Number 01,2/3/2004,322,0.08,71.8099759,BN,OMR,Interior
Contra Costa PP Number 01,3/13/1995,322,0.08,37.53111646,W,OMR,Interior
Middle River at Bacon Island Bridge,9/10/1991,323,0.2,92.73110822,C,OMR,Interior
Rock Slough @ Old River,4/9/1991,323,0.16,70.47185036,C,OMR,Interior
Contra Costa PP Number 01,4/8/1999,324,0.1,57.34361395,W,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,0.1,80.25338455,D,OMR,Interior
Old River North of Rock Slough (St 4b),4/22/1992,325,0.08,77.19407905,C,OMR,Interior
Middle River at Bacon Island Bridge,9/18/1990,327,0.2,87.49634818,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/8/1992,327,0.08,79.86326901,C,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,0.1,66.37589317,BN,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,0.09,72.52425966,C,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,0.1,66.37589317,BN,SouthDelta,Interior
Middle River at Bacon Island Bridge,7/9/1990,330,0.16,87.6328401,C,OMR,Interior
Contra Costa PP Number 01,6/4/2002,330,0.11,69.35185908,D,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,0.08,51.50084909,AN,OMR,Interior
Rock Slough @ Old River,4/22/1992,330,0.08,77.19407905,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/5/1992,331,0.09,86.61933596,C,OMR,Interior
Old River nr Tracy,1/13/1993,332,0.08,64.09402935,AN,SouthDelta,Interior
Middle River @ Union Point - P10A,11/3/2010,334,0.16,84.63274041,D,OMR,Interior
Middle River @ Union Point - P10A,2/7/2011,334,0.11,64.18410148,W,OMR,Interior
Rock Slough @ Old River,4/8/1992,334,0.09,79.86326901,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2010,334,0.16,84.63274041,D,SouthDelta,Interior
Middle River @ Union Point - P10A,2/7/2011,334,0.11,64.18410148,W,SouthDelta,Interior
Middle River @ Union Point - P10A,10/2/2007,335,0.15,87.02852586,W,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,0.11,80.28545946,D,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,0.07,77.19407905,C,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,0.15,87.02852586,W,SouthDelta,Interior
Middle River at Bacon Island Bridge,8/25/1994,336,0.15,90.48799198,C,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,0.1,74.90839371,D,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,5/9/1996,336,0.11,62.32099718,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,6/2/2009,336,0.1,74.90839371,D,SouthDelta,Interior
San Joaquin River at Prisoner's Point,9/8/2009,336.2,0.16,83.47406172,D,SJRcorridor,Interior
Old River North of Rock Slough (St 4b),1/12/1994,337,0.16,82.38546939,C,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,0.1,57.844797,AN,OMR,Interior
Rock Slough @ Old River,5/5/1992,337,0.1,86.61933596,C,OMR,Interior
Middle River @ Union Point - P10A,1/9/2017,338,0.14,56.18463132,W,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,3/13/1997,338,0.1,55.45327752,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,1/9/2017,338,0.14,56.18463132,W,SouthDelta,Interior
Middle River @ Union Point - P10A,10/5/2010,340,0.14,83.98583932,D,OMR,Interior
San Joaquin River at Prisoner's Point,12/9/2009,340,0.16,88.75050471,D,SJRcorridor,Interior
Middle River @ Union Point - P10A,10/5/2010,340,0.14,83.98583932,D,SouthDelta,Interior
Grant Line/Fabian/Bell Canals nr Old R.,4/8/1992,340,0.08,79.86326901,C,SouthDelta,Interior
Rock Slough @ Old River,1/12/1994,341,0.16,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,0.13,88.65054031,W,OMR,Interior
Contra Costa PP Number 01,4/4/2001,341,0.08,72.87905364,D,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,0.13,88.65054031,W,SouthDelta,Interior
Little Connection Sl. @ Empire Tr.,1/29/1991,344,0.11,94.90599798,C,SJRcorridor,Interior
Middle River @ Union Point - P10A,9/9/2009,345,0.16,84.37552482,D,OMR,Interior
Clifton Court Intake,2/9/1993,345,0.09,67.78217395,AN,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,0.16,84.37552482,D,SouthDelta,Interior
Middle River @ Union Point - P10A,9/10/2018,346,0.16,84.8982076,BN,OMR,Interior
Contra Costa PP Number 01,5/3/2005,346,0.1,60.83995013,AN,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,0.1,74.44600721,D,OMR,Interior
San Joaquin River @ Mossdale Bridge - C7A,5/13/1997,346,0.11,71.63203277,W,SJRcorridor,Interior
Middle River @ Union Point - P10A,9/10/2018,346,0.16,84.8982076,BN,SouthDelta,Interior
Middle River @ Union Point - P10A,5/2/2007,346,0.1,74.44600721,D,SouthDelta,Interior
Middle River at Bacon Island Bridge,8/21/1991,347,0.22,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,8/5/2003,348,0.15,69.2729812,AN,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,0.15,87.28423839,D,OMR,Interior
Clifton Court Intake,8/10/1993,348,0.13,70.9026113,AN,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,0.11,78.884997,C,OMR,Interior
