Long Station Name,Collection Date,EC,Cl,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,10/23/1991,585,118,94.27657666,C,OMR,Interior
Middle River at Bacon Island Bridge,10/24/1990,585,98,94.04183083,D,OMR,Interior
Rock Slough @ Old River,9/25/1990,583,114,91.8739207,C,OMR,Interior
Middle River @ Union Point - P10A,3/2/2009,583,90,65.57301543,D,OMR,Interior
Middle River @ Union Point - P10A,9/9/2015,581,117,94.75346141,C,OMR,Interior
Contra Costa PP Number 01,12/6/2004,579,108,88.99645057,BN,OMR,Interior
Old River South of Rock Slough (St 5A),11/18/1976,579,106,91.95756149,W,OMR,Interior
Old River South of Rock Slough (St 5A),9/17/1976,575,101,85.56655881,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/21/1972,574,115,86.3335458,BN,OMR,Interior
Clifton Court Intake,3/15/1988,574,103,91.57829765,C,OMR,Interior
Contra Costa PP Number 01,12/2/2008,574,102,92.75840841,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/25/1990,573,112,91.8739207,C,OMR,Interior
Rock Slough @ Old River,7/26/1990,572,117,86.56430395,C,OMR,Interior
Middle River at Bacon Island Bridge,8/4/1992,571,117,93.425676,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/22/1976,571,114,85.42715675,C,OMR,Interior
Old River South of Rock Slough (St 5A),7/22/1976,571,114,85.42715675,C,OMR,Interior
