Long Station Name,Collection Date,EC,Mg,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,2/8/1996,397,14,47.52751567,W,OMR,Interior
Contra Costa PP Number 01,2/7/2005,379,14,66.68285541,AN,OMR,Interior
Contra Costa PP Number 01,12/16/1993,566,13,82.70555681,AN,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1981,553,13,85.40012999,D,OMR,Interior
Contra Costa PP Number 01,9/8/2004,540,13,83.45154489,BN,OMR,Interior
Old River North of Rock Slough (St 4b),7/26/1990,524,13,86.56430395,C,OMR,Interior
Rock Slough @ Old River,9/11/1990,510,13,86.1336185,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2013,507,13,93.39492499,D,OMR,Interior
Contra Costa PP Number 01,10/3/2005,504,13,81.90521431,BN,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,13,84.27562766,W,OMR,Interior
Contra Costa PP Number 01,8/5/2008,492,13,88.35573476,C,OMR,Interior
Middle River @ Union Point - P10A,8/4/2014,490,13,88.73599436,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2016,488,13,59.65346245,BN,OMR,Interior
Old River near Rock Slough,9/15/1959,486,13,84.58759953,BN,OMR,Interior
Middle River @ Union Point - P10A,3/5/2007,485,13,58.91442023,D,OMR,Interior
Middle River at Bacon Island Bridge,8/19/1992,484,13,92.0935494,C,OMR,Interior
Rock Slough @ Old River,9/5/1990,483,13,86.59648732,C,OMR,Interior
