Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,6/5/2018,284,2,74.73149108,BN,OMR,Interior
Middle River at Bacon Island Bridge,7/26/1990,286,2,86.56430395,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/30/1981,287,2,87.70223073,D,OMR,Interior
Middle River @ Union Point - P10A,9/7/2016,288,2,84.03725468,BN,OMR,Interior
Middle River @ Union Point - P10A,9/7/2010,294,2,86.84207092,BN,OMR,Interior
Old River South of Rock Slough (St 5A),9/15/1980,312,2,76.57711741,AN,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,2,72.02877378,D,OMR,Interior
Middle River @ Union Point - P10A,11/3/2010,334,2,84.63274041,D,OMR,Interior
Middle River at Bacon Island Bridge,6/10/1993,337,2,57.844797,AN,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,2,74.44600721,D,OMR,Interior
Contra Costa PP Number 01,8/5/2003,348,2,69.2729812,AN,OMR,Interior
Middle River @ Union Point - P10A,5/7/2018,352,2,64.92049336,BN,OMR,Interior
Contra Costa PP Number 01,10/5/1993,368,2,83.89162437,C,OMR,Interior
Clifton Court Intake,5/13/1993,456,2,61.911538,AN,OMR,Interior
Clifton Court Intake,5/21/1992,463,2,91.77345049,C,OMR,Interior
Middle River @ Union Point - P10A,9/10/2018,346,2.02,84.8982076,BN,OMR,Interior
Old River South of Rock Slough (St 5A),12/14/1982,240,2.1,58.19292799,W,OMR,Interior
Old River South of Rock Slough (St 5A),3/4/1981,263,2.1,75.67405581,D,OMR,Interior
Contra Costa PP Number 01,8/6/1997,267,2.1,77.35304839,W,OMR,Interior
Middle River at Bacon Island Bridge,9/21/1993,275,2.1,80.87356521,AN,OMR,Interior
Middle River @ Union Point - P10A,3/13/2019,278,2.1,#N/A,W,OMR,Interior
Middle River at Bacon Island Bridge,10/20/1993,287,2.1,84.89979461,C,OMR,Interior
Clifton Court Intake,10/14/1993,287,2.1,84.61138109,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/20/1981,294,2.1,75.19545039,D,OMR,Interior
Clifton Court Intake,3/4/1986,306,2.1,0,W,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,2.1,58.91442023,D,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,2.1,71.8099759,BN,OMR,Interior
