Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Old River North of Rock Slough (St 4b),10/23/1991,665,32,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,10/7/1997,640,32,90.04861349,W,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,32,94.27657666,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,32,90.63835999,C,OMR,Interior
Middle River @ Union Point - P10A,1/6/2014,601,32,92.33233742,C,OMR,Interior
Middle River @ Union Point - P10A,1/3/2008,544,32,83.34570353,C,OMR,Interior
Clifton Court Intake,7/23/1991,528,32,91.47785985,C,OMR,Interior
Contra Costa PP Number 01,5/19/1992,451,32,92.35936602,C,OMR,Interior
Rock Slough @ Old River,4/20/1994,357,32,78.884997,C,OMR,Interior
Middle River @ Union Point - P10A,5/2/2007,346,32,74.44600721,D,OMR,Interior
Contra Costa PP Number 01,6/6/2001,335,32,80.28545946,D,OMR,Interior
Contra Costa PP Number 01,5/6/2003,330,32,51.50084909,AN,OMR,Interior
Contra Costa PP Number 01,8/21/1991,699,31,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,7/20/1994,666,31,90.6143213,C,OMR,Interior
Contra Costa PP Number 01,8/5/2002,665,31,83.27712196,D,OMR,Interior
Rock Slough @ Old River,5/23/1990,660,31,90.30188297,C,OMR,Interior
Contra Costa PP Number 01,11/17/1993,647,31,88.13138401,C,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,31,89.47617765,BN,OMR,Interior
Middle River @ Union Point - P10A,1/9/2019,543,31,#N/A,W,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1988,533,31,88.84197167,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/28/1988,512,31,88.84197167,C,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,31,84.27562766,W,OMR,Interior
Middle River @ Union Point - P10A,1/2/2007,490,31,80.23657174,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2014,459,31,75.44547873,C,OMR,Interior
Middle River @ Union Point - P10A,11/6/2007,427,31,89.58054651,W,OMR,Interior
Middle River @ Union Point - P10A,2/4/2019,411,31,#N/A,W,OMR,Interior
Clifton Court Intake,1/19/1994,367,31,80.49647088,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/20/1994,348,31,78.884997,C,OMR,Interior
