Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,11/17/1993,647,82,88.13138401,C,OMR,Interior
Old River South of Rock Slough (St 5A),10/22/1985,639,82,91.1066811,W,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,82,94.27657666,C,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,82,92.73586707,AN,OMR,Interior
Clifton Court Intake,8/9/1988,616,82,85.21737303,C,OMR,Interior
Rock Slough @ Old River,8/7/1990,635,81,84.4251127,C,OMR,Interior
Rock Slough @ Old River,8/28/1985,630,81,86.67605396,D,OMR,Interior
Middle River at Bacon Island Bridge,12/10/1992,686,80,95.44056579,C,OMR,Interior
Contra Costa PP Number 01,11/4/2003,673,80,88.40480968,D,OMR,Interior
Old River South of Rock Slough (St 5A),1/6/1988,669,80,87.58232555,C,OMR,Interior
Clifton Court Intake,5/23/1990,654,80,90.30188297,C,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,80,95.38511805,C,OMR,Interior
Middle River @ Union Point - P10A,6/1/2015,697,79,93.2549537,C,OMR,Interior
Clifton Court Intake,4/5/1988,672,79,85.25427643,C,OMR,Interior
Middle River @ Union Point - P10A,7/6/2015,667,79,95.81957478,C,OMR,Interior
Clifton Court Intake,1/10/1989,655,79,86.91861449,D,OMR,Interior
Rock Slough @ Old River,6/26/1991,647,79,92.70986559,C,OMR,Interior
Clifton Court Intake,9/9/1987,646,79,89.37303316,D,OMR,Interior
Old River near Rock Slough,9/2/1959,644,79,91.96611223,BN,OMR,Interior
Old River North of Rock Slough (St 4b),6/26/1991,639,79,92.70986559,C,OMR,Interior
Rock Slough @ Old River,7/10/1991,630,79,92.07471565,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/18/1981,628,79,87.20292234,D,OMR,Interior
Contra Costa PP Number 01,10/2/1990,625,79,92.40360011,D,OMR,Interior
Contra Costa PP Number 01,12/5/2005,660,78,82.80590189,AN,OMR,Interior
Contra Costa PP Number 01,11/3/2008,642,78,93.02142734,D,OMR,Interior
Rock Slough @ Old River,11/7/1989,638,78,87.11334397,C,OMR,Interior
Old River near Rock Slough,9/2/1959,621,78,91.96611223,BN,OMR,Interior
Rock Slough @ Old River,10/1/1990,618,78,91.47315676,D,OMR,Interior
Old River South of Rock Slough (St 5A),12/17/1985,605,78,77.70271234,D,OMR,Interior
Clifton Court Intake,3/24/1987,730,77,61.48523734,D,OMR,Interior
Old River North of Rock Slough (St 4b),10/1/1990,613,77,91.47315676,D,OMR,Interior
Old River South of Rock Slough (St 5A),8/13/1979,592,77,83.32246149,BN,OMR,Interior
Middle River @ Union Point - P10A,3/3/2014,725,76,80.57624471,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/5/1986,723,76,80.38588581,W,OMR,Interior
Clifton Court Intake,3/9/1993,730,75,59.04059358,AN,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,75,94.93479848,C,OMR,Interior
Old River North of Rock Slough (St 4b),5/22/1991,613,75,90.63835999,C,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,75,83.08252588,C,OMR,Interior
Clifton Court Intake,8/25/1994,597,75,90.48799198,C,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,75,92.78926842,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/7/1990,595,75,84.4251127,C,OMR,Interior
Contra Costa PP Number 01,12/6/2004,579,75,88.99645057,BN,OMR,Interior
Middle River at Bacon Island Bridge,10/30/1990,656,74,93.26510574,D,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1991,609,74,94.35994762,C,OMR,Interior
Rock Slough @ Old River,9/25/1990,583,74,91.8739207,C,OMR,Interior
Middle River @ Union Point - P10A,9/9/2015,581,74,94.75346141,C,OMR,Interior
Old River South of Rock Slough (St 5A),8/3/1987,564,74,84.30302728,D,OMR,Interior
Clifton Court Intake,10/4/1988,617,73,93.17402995,D,OMR,Interior
Rock Slough @ Old River,11/5/1987,617,73,93.1732086,W,OMR,Interior
Clifton Court Intake,11/5/1987,616,73,93.1732086,W,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,73,92.39401068,D,OMR,Interior
Clifton Court Intake,6/25/1991,607,73,93.04612539,C,OMR,Interior
Middle River @ Union Point - P10A,1/4/2016,601,73,89.47617765,BN,OMR,Interior
Old River North of Rock Slough (St 4b),7/24/1991,595,73,92.78926842,C,OMR,Interior
Rock Slough @ Old River,7/26/1990,572,73,86.56430395,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2009,633,72,84.30493265,D,OMR,Interior
Middle River at Bacon Island Bridge,11/27/1990,618,72,93.19458317,D,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,72,88.64679121,D,OMR,Interior
Rock Slough @ Old River,5/22/1991,596,72,90.63835999,C,OMR,Interior
Contra Costa PP Number 01,10/23/1991,585,72,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,8/21/1991,699,71,88.57096592,C,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,71,57.47547175,AN,OMR,Interior
Middle River at Bacon Island Bridge,11/19/1992,607,71,93.66767375,C,OMR,Interior
Old River North of Rock Slough (St 4b),9/25/1990,573,71,91.8739207,C,OMR,Interior
Contra Costa PP Number 01,10/3/2000,548,71,87.25802224,W,OMR,Interior
Clifton Court Intake,2/7/1990,586,70,84.33818965,C,OMR,Interior
Contra Costa PP Number 01,10/13/1994,569,70,90.78710967,AN,OMR,Interior
